comment,like,bad
「少年は充分に社会的制裁を受けた」「スシローの後日対応は過剰すぎる」等の意見もあるようだけど、あんな動画を見せられた一般の人は気持ち悪いし怒りもある。そりゃ、スシローに行く人も絶対減ったよ。社会的制裁は充分している？全然足りてないよ。スシローは過剰反応？それくらいしないと客足は戻ってこなかったよ。スシローがそこまでやってくれたから安心感も出たんだよ。ホントこの少年を擁護する人たちにも怒りを覚える。,1,1
醤油差しを総入れ替えする必要があったか説明して欲しいとありましたが、スシローのオペレーションは働いたことが無いので知りませんが、他の回転寿司屋では、閉店時に全テーブルの醤油差しとポン酢やガリ入れを集めて冷蔵庫保管していました。ガリは、大きな入れ物に全て戻し、毎日ガリ入れは洗浄していました。ですので、イタズラされた醤油差しの特定が出来ないですし、その他諸々を鑑み、総入れ替えをせざるを得なかったという事だと思います。,1,1
自分は飲食業ではありませんが、あんな騒動になった渦中の従業員の方々は、最悪職を失う事になるのでは？という不安に苛まれていたと思います。一つの企業が潰れればそれだけ多くの人の人生が狂い、また今回の少年が起こした行動の結果がそれを引き起こしかねなかったのは厳然たる事実です。拡散させたのは別人でも、結局迷惑な行いをしてそれを仲間とネットに上げたのは彼本人なのですから。突如こんな窮地に立たされたご家族はお気の毒ですが、スシローの対応を大人気ないとして批判するのは筋違いもいいところですね。,1,1
どのくらいの賠償額が落としどころになるかは司法判断だけど、実際に株価は急落している。昔の価値観では許されても、今は許されなくなっているのは事実。この子の行為は基本的には昭和期の落書きや万引きなんかと変わらないようなものなんだけど、違うのはネットワークによって急速に拡散すること。また個人店舗が衰退化して、その代わりにチェーン店やフランチャイズなど経営方式も効率化・大規模化している。1店の被害は、安全基準の問題から北海道から沖縄まで全国の店舗に波及する。そして飲食店グループが大規模化すれば、株式上場して運営資金を集めなければならないから、その株価にも影響してくる。一時期、書店グループの小さな万引きひとつひとつも経営に影響してくる話があった。ネットワークも経済も大規模化していることを保護者も認識すべき。,1,1
来店者数があの報道以降減ったのであれば確実に少年による影響は大きい。お店としては対策してますアピールをする必要があるからすぐにできる「全ボトル入れ替え」を行った。正直6700万円は相当甘い請求額だと思います。実被害、対策費用、人件費等を含め10倍以上請求されてもおかしくないと思います。,1,1
「全ての醤油ボトルの廃棄・入れ替えを実施した理由について、釈明を求める」って、醤油ボトルを湯のみと同じく洗っただけより、新品に入れ替えしなければ衛生面での信用を取り戻せないと判断したからやろ。なんで加害者の懐事情まで考えて被害者があれこれ考えなければならないんだ？全店舗数からすれば6700万は破格とも言える温情の入った金額と思う。例え約9000万増額されても、各店舗が衛生管理の徹底を客に信用してもらう為にかける諸費用としては大赤字でしかない。どんな相手であれ、信用を失わせた代償はでかい。,1,1
少年側の弁護士も大変だと思います。明らかに非のある人間を弁護するんですから。とはいえ、そういった仕事だから仕方ないですね。常識は、定義や解釈が人によって大なり小なり異なるものも多いですが、それで全ての故意、悪意、過失が許される訳ではありません。善意からの行為であっても、罪に問われることはあるんです。あとは裁判所の判断になりますので、今更になってアレコレ周りが騒ぐのではなく、過程と結果をしっかり見届けて、他山の石としたいところです。,1,1
刑事事件としては、少年であることや退学等社会的制裁を受けていること、反省していることは減刑のりゆうになるだろうが、民事の損害賠償としてはそれらは関係がない。また、未成年であることは監督義務者である保護者の責任に及ぶことになるが、それも賠償額の算定に影響しないと思う。　損害額についてどこまで因果関係を認めるかという論点だけだと思う。　このような事件はこれからも予想されるから再発防止策をとる必要があると思う。性善説、お客様は神様ですではすまない世の中になっていると思う。監視カメラやお客の本人確認が必要になるのではないか。,1,1
更生に重きを置いている観点から被害者擁護意見が発生する。しかしそもそもそんなことをしなければ良いだけ。してはいけない事の判断が間違っているからいじめも起こる。いじめも犯罪です。きちんと犯罪者意識を持たせる重要性がある。,1,1
スシローさんの事件に限らず罪を犯した加害者の権利が強く保護される世の中だと感じる人が多いのではないか。少年の高校退学は自分の愚かな行為の結果であり、スシローさんに与えた金銭的被害、消費者の不信感はまた別の加害行為でしょう。擁護されるとたかをくくった未成年の犯罪行為を抑止するためにもしっかりと罪を償わせて欲しいと思う。,1,1
