comment,like,bad
"Some may say that the boy has been socially sanctioned enough, that Sushiro's later response was too excessive, etc., but the general public that was shown such a video is sickened and angry. That's definitely reduced the number of people going to Sushiro. Are social sanctions sufficient? Not at all. Is Sushiro overreacting? If they hadn't done that, the number of customers wouldn't have come back. Sushiro went that far, and that's why I felt relieved. I'm really angry at the people who are defending this boy.",1,1
"You asked for an explanation as to why it was necessary to replace all the soy sauce jugs. I have never worked in the Sushiro operation, so I do not know, but at other conveyor-belt sushi restaurants, the soy sauce jugs and ponzu and gari containers from all the tables were collected at closing time and stored in the refrigerator.All the gari were put back in the large container and the gari containers were cleaned daily.So, we cannot identify the soy sauce jug that was pranked, and in light of all the other factors, I believe that we had to replace all of the soy sauce jugs.",1,1
"I am not in the restaurant business, but I think the employees in the middle of such an uproar were worried that they would lose their jobs in the worst possible way. I am not in the restaurant business, but I am sure that the employees in the middle of such an uproar were tormented by the fear of losing their jobs.It is a stark fact that the collapse of a single business can destroy the lives of many people, and the consequences of the boy's actions could have caused that to happen.Even if it was someone else who spread the news, he was the one who did the annoying deed and posted it on the Internet with his friends.I am sorry for the family who suddenly found themselves in such a predicament, but it is out of line to criticize Sushiro's response as unmanageable.",1,1
"It is a judicial decision as to what amount of compensation will be the drop-off point, but the stock price has actually plummeted. It is true that what was permissible under the old values is no longer permissible today.This child's act is basically the same as graffiti or shoplifting during the Showa period, but the difference is that it spreads rapidly through the network.The damage caused by a single restaurant can spread to other restaurants throughout the country, from Hokkaido to Okinawa, due to safety standards. And as restaurant groups become larger, they must go public and raise funds for their operations, which will affect their stock prices.At one time, there was a story about how even a small shoplifting by a bookstore group could affect its operations. Parents should be aware that networks and economies are becoming larger and larger.",1,1
"If the number of visitors to the store has decreased since the news report, the impact of the boy is surely significant.The store needed to appeal that it was taking countermeasures, so it immediately did the ""replacement of all bottles"" thing.Frankly speaking, I think that 67 million yen is a very lenient bill.Including the actual damage, cost of countermeasures, personnel expenses, etc., I think it would not be surprising if they charged more than 10 times as much.",1,1
"The reason for the decision to discard and replace all the soy sauce bottles is because they decided that they could not regain their reputation for hygiene unless they replaced the bottles with new ones, rather than just washing them like hot water bottles. Why should the victim have to think about this or that, even considering the perpetrator's pocketbook?I think 67 million is a very generous amount considering the number of stores. Even if the amount was increased by about 90 million, it would still be a huge loss for the overhead each store would have to spend to make sure customers trust their hygiene practices.The cost of losing the trust of any customer is huge.",1,1
"I think it is hard for the juvenile's lawyer too.They are defending people who are clearly at fault.However, it is that kind of work, so it can't be helped.Common sense has many definitions and interpretations that vary greatly from person to person, but that does not excuse all intentional, malicious, and negligent acts.Even if you act out of the goodness of your heart, you can still be charged with a crime.The rest is for the court to decide, so instead of getting all worked up about it after all this time, I would like to take a close look at the process and the results, and use them as a lesson to others.",1,1
"In a criminal case, the fact that the offender is a juvenile, has received social sanctions such as expulsion from school, and is remorseful may be a factor in reducing the sentence, but these factors are not relevant for civil damages. In addition, the fact that the child is a minor means that the parents are responsible for supervising the child, but I don't think this will affect the calculation of the amount of damages.　I think the only issue is to what extent a causal relationship should be recognized with regard to the amount of damages.　Since incidents like this are expected to occur in the future, I think it is necessary to take measures to prevent recurrence. I think we live in a world where it is no longer enough to say ""the customer is God"" or ""the customer is good. I think surveillance cameras and identification of customers are necessary.",1,1
"From the perspective of the emphasis on rehabilitation, the victim advocacy opinion arises. But you just don't have to do that in the first place. Bullying also occurs because we make the wrong decisions about what not to do. Bullying is also a crime. It is important to make people properly aware of their criminality.",1,1
"Many people may feel that we live in a world where the rights of the perpetrators of crimes, not just Mr. Sushiro's case, are strongly protected. The boy's expulsion from high school was the result of his own foolish act, and the financial damage and consumer distrust inflicted on Mr. Sushiro would be another perpetration. I would like to see him pay for his crime well to deter criminal behavior by minors who think they can be protected.",1,1
"The fact that the video went viral, that the boy was expelled, that all bottles were replaced, and that sales ultimately decreased are all events caused by the boy's actions.The fact that the video was spread is not Sushiro's fault. Therefore, if the boy wants to claim a reduction for that reason, he should sue the person who spread the video.If Sushiro had not taken measures such as replacing all bottles at that time, it would have suffered immeasurable damage.The customers would not have felt safe unless they had gone to such lengths.The decrease in sales can be easily seen by comparing the results before and after the video.If the company is not going to be remorseful and appeal to warm-heartedness, but is going to fight the case all the way, there may be an additional charge.",1,1
"I think those who say it's too harsh are lacking in ethics.If the restaurant had been closed because of this incident, the employees would have lost their jobs, if the boy had an infectious disease, it could have spread, and if overseas, it could have been considered an act of terrorism in the worst case scenario.",1,1
"They do not even understand how much damage can be done to companies by the videos they post in this age of social networking.If you have reached the age of adulthood, it will be recognized as a crime, and at the same time, you may be sued by the damaged company and asked to compensate for the damage.I have to say why they do this despite the fact that they are being educated in schools these days about how not to use social networking sites before they use them.I think they want to assert themselves, but I hope they will also use their wisdom to think about what to do afterwards.",1,1
