comment,like,bad
"It is a very low price offer. As for the actual damage done to the company, it is an incalculable loss in terms of falling credibility and destroying the credibility of the conveyor-belt sushi system, and by extension, the nationalistic and hygienic image of Japan. They will probably go bankrupt anyway, but I'm sure they don't think that much of it. I think it would be cheap to charge them 200 million yen considering the social impact.",11143,362
"Although the emphasis tends to be on the amount of money involved, we hope that as much as possible, ""the person himself/herself will pay compensation directly to the victim. Although it is realistic for the parents to pay the money on behalf of the victim, the ""return of the money to the parents"" diminishes the feelings of remorse. It would be better to ""pay the victim yourself,"" even if it takes many years, so that the feelings of remorse would not be diminished so much. Therefore, if we are truly concerned about the life of the offender, it is more important to ""give him more time"" than to ""lower the amount of money. Ideally, the perpetrator should be told to ""take 50 years and continue to pay 100,000 yen per month directly to the offender once he or she has entered the workforce. However, this is only a theoretical idealism, considering the fact that a case would greatly affect the chances of getting a job.",100,23
"This article is a valid point. When looking at juvenile crimes, the victims are left behind, saying that they are minors and that rehabilitation is important. I think there is no coverage from the victims' point of view. In other countries, the amount of damages is calculated based on the amount of loss, regardless of whether the victim can pay or not. I think that Japanese courts are more like to calculate the amount of reduction from the standpoint of the payer. I don't think that the 67 million yen awarded to Sushiro is a very high amount of damages, in fact, I think it is a very small amount.",8055,152
"It will be an opportunity to spread the word about what it means to cause trouble for a company and spread the word on social networking sites. A certain Nisei (second-generation) celebrity said that he should make them do backstage work to compensate for their actions, but if that is the extent to which they are allowed to do so, there will be no decrease in the number of victims. Of course, education should be provided at home, but as long as there is no age limit on the possession of smartphones, IT literacy education, including SNS operation, should be provided in compulsory education.",324,7
"Holding companies and society accountable is an effective way to reduce similar acts. The TV and other media outlets have made off-topic comments such as ""moral education in schools...,"" but such people do not listen to teachers, and children who can listen to lessons with a firm attitude do not cause such incidents. The recent rash of robberies also need to be reported and companies that have suffered damage need to file lawsuits to make people aware of the possibility of success and the seriousness of getting caught, and to discourage them from doing so. The only thing that should be taught in schools is the fact that ""you will carry a heavy burden for the rest of your life because of your rash actions,"" but unfortunately, this advice is not being heeded by the children.",865,16
"It was recently reported that a 19-year-old boy was arrested for robbery and assault for the seventh time on the same charge. If there were room for sympathy, we would be inclined to ""consider the future of the perpetrator boy,"" but clearly there are those who are taking advantage of this situation and committing the crime. From now on, shouldn't we be thinking in terms of preventing recurrence and similar crimes, rather than in terms of the perpetrator's future?",5155,54
"I feel that the argument in defense of the perpetrator is only to the point of not caring. I don't think this case involves ""human rights"" in particular, and I don't think it is an infringement of the perpetrator's character. I think it's true that the scale is different in other countries, but I don't think they were influenced by the media to come up with the 67 million yen figure. I think it is possible to bemoan the difference between Japan and other countries based on how much liability is recognized in the court.",31,3
"To be honest, I have always been a prankster. People know it's wrong, but they think it's funny and show it to everyone. Nowadays, there are many young people who don't understand what it means to post something on social networking sites. I am grateful for Sushiro's lawsuit to make people aware of this. It is necessary for the people who work hard at Sushiro to be able to eat out safely and securely.",2956,48
"The actual damages suffered must be much greater. But I don't think the assailant has the ability to pay the bill for hundreds of millions of dollars. The cost of litigation will only become more expensive. On the other hand, although it is not an example, I think it is necessary to let the public know that damages will be claimed in order to prevent such pranks and shenanigans. Then, it might be appropriate to charge this amount of money.",2448,73
"I think Sushiro would normally be lukewarm about the amount of this bill. The lives of the employees and their families are at stake, and if the company becomes a major player, the impact will be much greater. I think that the claim for damages against the boy is a good way to show that companies will have to pay a large price if they cause damage through malicious and disruptive behavior, and that this will have a certain effect in deterring imitations, which I think is a natural step. It would be better for the boy's future if he and his guardians reflect on their actions in the true sense of the word.",1887,39
